player_id,player_name,team,position,sub_position,lineup_position,age,squad_selections,games_played,minutes_played,goals,assists,yellow_cards,red_cards,market_value_eur,height_cm,nationality,preferred_foot,highest_market_value_in_eur,contract_expiration_date
733576,Alberto Moleiro,Las Palmas,Attack,Left Winger,Left Winger,21,19,35,2728,6,1,5,0,30000000,171.0,Spain,right,30000000.0,2030-06-30 00:00:00
405398,Takefusa Kubo,Real Sociedad,Attack,Right Winger,Right Winger,24,16,36,2381,5,0,5,0,30000000,173.0,Japan,left,60000000.0,2029-06-30 00:00:00
262396,Unai Simón,Athletic Bilbao,Goalkeeper,Goalkeeper,Goalkeeper,28,10,0,0,0,0,0,0,30000000,190.0,Spain,right,30000000.0,2029-06-30 00:00:00
398184,Ferran Torres,FC Barcelona,Attack,Left Winger,Centre-Forward,25,14,0,0,0,0,0,0,30000000,184.0,Spain,right,50000000.0,2027-06-30 00:00:00
636703,Fermín López,FC Barcelona,Midfield,Central Midfield,Attacking Midfield,22,17,0,0,0,0,0,0,30000000,174.0,Spain,right,30000000.0,2027-06-30 00:00:00
962110,Pau Cubarsí,FC Barcelona,Defender,Centre-Back,Centre-Back,18,20,0,0,0,0,0,0,30000000,184.0,Spain,right,30000000.0,2027-06-30 00:00:00
1190411,Jesús Rodríguez,Real Betis,Attack,Left Winger,Left Winger,19,7,21,1120,2,1,0,0,30000000,185.0,Spain,right,30000000.0,2030-06-30 00:00:00
602105,Antony,Real Betis,Attack,Right Winger,Right Winger,25,5,17,1365,5,2,2,1,30000000,172.0,Brazil,left,75000000.0,2030-06-30 00:00:00
108390,Thibaut Courtois,Real Madrid,Goalkeeper,Goalkeeper,Goalkeeper,33,14,0,0,0,0,0,0,28000000,200.0,Belgium,left,75000000.0,2026-06-30 00:00:00
505653,Fábio Silva,Las Palmas,Attack,Centre-Forward,Centre-Forward,22,11,0,0,0,0,0,0,28000000,185.0,Portugal,right,28000000.0,2030-06-30 00:00:00
730581,Loïc Badé,Sevilla,Defender,Centre-Back,Centre-Back,25,14,32,2687,1,1,7,1,28000000,191.0,France,right,30000000.0,2030-06-30 00:00:00
502676,Giorgi Mamardashvili,Valencia,Goalkeeper,Goalkeeper,Goalkeeper,24,18,34,3060,0,0,2,0,28000000,197.0,Georgia,left,45000000.0,2031-06-30 00:00:00
74857,Marc-André ter Stegen,FC Barcelona,Goalkeeper,Goalkeeper,Goalkeeper,33,4,0,0,0,0,0,0,28000000,187.0,Germany,right,90000000.0,2028-06-30 00:00:00
351478,Mikel Oyarzabal,Real Sociedad,Attack,Centre-Forward,Centre-Forward,28,16,35,2263,9,3,4,1,25000000,181.0,Spain,left,70000000.0,2028-06-30 00:00:00
86202,Antonio Rüdiger,Real Madrid,Defender,Centre-Back,Centre-Back,32,10,0,0,0,0,0,0,25000000,190.0,Germany,right,50000000.0,2026-06-30 00:00:00
689505,Johnny Cardoso,Real Betis,Midfield,Defensive Midfield,Defensive Midfield,23,13,0,0,0,0,0,0,25000000,186.0,United States,right,25000000.0,2029-06-30 00:00:00
466810,Ansu Fati,FC Barcelona,Attack,Left Winger,Left Winger,22,13,0,0,0,0,0,0,25000000,178.0,Spain,right,80000000.0,2027-06-30 00:00:00
